epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,389.232,1.89436,1.49545,1.51858,0.46727,0.46062,0.42098,0.18138,1.63498,4.72963,1.34736,0.000743468,0.000743468,0.000743468
19,411.432,1.89682,1.50418,1.51061,0.53436,0.46369,0.45388,0.20359,1.63437,3.44519,1.31148,0.000715761,0.000715761,0.000715761
20,432.777,1.91116,1.50936,1.50796,0.55435,0.45438,0.46127,0.19801,1.61741,3.61971,1.29004,0.000687222,0.000687222,0.000687222
21,454.17,1.86262,1.45641,1.48216,0.53866,0.46369,0.4681,0.21761,1.60775,3.48508,1.28087,0.000657963,0.000657963,0.000657963
22,475.531,1.83602,1.4337,1.47859,0.5826,0.43575,0.44873,0.19518,1.64926,4.28727,1.32056,0.000628101,0.000628101,0.000628101
23,496.852,1.84874,1.42686,1.50667,0.5727,0.47486,0.49205,0.21145,1.62256,3.83573,1.29651,0.000597754,0.000597754,0.000597754
24,518.114,1.81787,1.42068,1.46034,0.58458,0.46927,0.49076,0.21852,1.59235,2.48234,1.29071,0.00056704,0.00056704,0.00056704
25,539.535,1.82467,1.38854,1.46766,0.5485,0.46555,0.4708,0.20727,1.64141,4.47962,1.30712,0.000536081,0.000536081,0.000536081
26,560.765,1.83528,1.37471,1.46335,0.57976,0.473,0.48822,0.20956,1.64305,2.74781,1.30171,0.000505,0.000505,0.000505
27,582.104,1.78208,1.36685,1.4322,0.63098,0.4581,0.50069,0.22198,1.61735,3.64592,1.29471,0.000473919,0.000473919,0.000473919
28,603.424,1.77169,1.29992,1.431,0.65354,0.45065,0.50625,0.2218,1.63962,3.72229,1.30717,0.00044296,0.00044296,0.00044296
29,624.793,1.75481,1.32241,1.42822,0.61346,0.48417,0.50757,0.22809,1.62067,2.93196,1.28386,0.000412246,0.000412246,0.000412246
30,646.532,1.75537,1.27116,1.4055,0.60841,0.48976,0.51881,0.23073,1.60246,2.28289,1.26843,0.000381899,0.000381899,0.000381899
31,668.676,1.73781,1.30187,1.41489,0.58785,0.52514,0.52558,0.23351,1.58101,2.85982,1.2676,0.000352037,0.000352037,0.000352037
32,690.551,1.72204,1.25391,1.39427,0.59788,0.48453,0.51435,0.23711,1.62186,2.46304,1.29681,0.000322778,0.000322778,0.000322778
33,712.617,1.70911,1.21725,1.37944,0.65398,0.4879,0.54465,0.25173,1.58357,2.68631,1.26596,0.000294239,0.000294239,0.000294239
34,734.428,1.70467,1.1823,1.38642,0.62277,0.49803,0.536,0.25422,1.58653,2.58612,1.27994,0.000266532,0.000266532,0.000266532
35,756.392,1.67384,1.18618,1.38193,0.63363,0.49275,0.52747,0.24448,1.58635,2.7962,1.27476,0.000239766,0.000239766,0.000239766
36,778.25,1.67258,1.15538,1.39051,0.62557,0.52328,0.5284,0.23493,1.60656,2.62057,1.28465,0.000214046,0.000214046,0.000214046
37,800.222,1.65948,1.17093,1.37862,0.59966,0.5121,0.53361,0.24644,1.58539,2.50325,1.28604,0.000189475,0.000189475,0.000189475
38,822.018,1.63194,1.1357,1.3611,0.64048,0.50279,0.55844,0.25435,1.57697,2.31886,1.26927,0.000166149,0.000166149,0.000166149
39,844.038,1.62708,1.13627,1.35666,0.65432,0.53259,0.56208,0.25779,1.59518,2.38705,1.28046,0.000144161,0.000144161,0.000144161
40,865.841,1.61721,1.1254,1.3533,0.66267,0.51955,0.57549,0.26369,1.57616,2.29016,1.27653,0.000123596,0.000123596,0.000123596
41,905.356,1.60253,1.09512,1.34021,0.69722,0.48603,0.5665,0.25862,1.58517,2.18148,1.28131,0.000104537,0.000104537,0.000104537
42,927.116,1.57931,1.08018,1.32328,0.67423,0.49162,0.55869,0.2593,1.59335,2.43524,1.28735,8.70577e-05,8.70577e-05,8.70577e-05
43,948.89,1.58811,1.07485,1.33289,0.61582,0.53259,0.55714,0.25857,1.59528,2.14793,1.28472,7.12282e-05,7.12282e-05,7.12282e-05
44,970.802,1.56195,1.05787,1.31776,0.64063,0.52514,0.56233,0.25867,1.59772,2.10173,1.29521,5.71106e-05,5.71106e-05,5.71106e-05
45,992.675,1.56799,1.05184,1.31234,0.63638,0.51769,0.55382,0.25833,1.60114,2.11103,1.295,4.47606e-05,4.47606e-05,4.47606e-05
46,1014.39,1.56778,1.055,1.31226,0.63193,0.52113,0.55709,0.25926,1.6039,2.18013,1.29234,3.4227e-05,3.4227e-05,3.4227e-05
47,1036.19,1.54816,1.03402,1.30294,0.60568,0.5419,0.56085,0.25983,1.59809,2.28034,1.2842,2.55513e-05,2.55513e-05,2.55513e-05
48,1058.19,1.56378,1.05176,1.2996,0.62278,0.527,0.55875,0.25994,1.59583,2.18768,1.28035,1.87678e-05,1.87678e-05,1.87678e-05
49,1080.01,1.56407,1.03174,1.30808,0.68345,0.49856,0.56368,0.26228,1.58709,2.06627,1.27832,1.39032e-05,1.39032e-05,1.39032e-05
50,1102.02,1.52474,1.02832,1.2869,0.68407,0.48976,0.56094,0.26173,1.58807,2.13533,1.27972,1.09768e-05,1.09768e-05,1.09768e-05
