epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1358,2.4537,4.11054,1.93243,0.37666,0.3252,0.24946,0.09667,1.86815,25.5144,1.54181,0.06733,0.00033,0.00033
2,45.8296,2.25552,2.03044,1.75008,0.32246,0.30726,0.24139,0.09454,1.85439,8.39435,1.43579,0.0343294,0.000662685,0.000662685
3,67.2342,2.19442,1.94842,1.71098,0.32955,0.32311,0.24979,0.09564,1.7965,8.47767,1.39287,0.00132611,0.000992776,0.000992776
4,88.5451,2.13682,1.96504,1.65655,0.42101,0.38547,0.34282,0.13027,1.75902,6.36252,1.39864,0.000991232,0.000991232,0.000991232
5,109.935,2.11878,1.83502,1.67731,0.51314,0.39058,0.38395,0.14978,1.70683,7.12359,1.3429,0.000984449,0.000984449,0.000984449
6,131.484,2.09904,1.84578,1.65492,0.4482,0.37616,0.33452,0.13442,1.74893,8.56363,1.35157,0.000975773,0.000975773,0.000975773
7,152.749,2.04897,1.81836,1.62167,0.56631,0.38734,0.40408,0.16172,1.75348,8.83401,1.4327,0.000965239,0.000965239,0.000965239
8,174.17,2.07856,1.77744,1.66052,0.47476,0.37616,0.39011,0.14933,1.71714,5.98026,1.41121,0.000952889,0.000952889,0.000952889
9,195.583,2.02257,1.73608,1.60343,0.48564,0.36499,0.36661,0.13534,1.84222,2.6826,1.45812,0.000938772,0.000938772,0.000938772
10,216.954,2.04291,1.70112,1.61022,0.48821,0.38547,0.35674,0.14997,1.72962,9.81982,1.42313,0.000922942,0.000922942,0.000922942
11,238.432,2.00495,1.70284,1.60476,0.46776,0.4041,0.37299,0.15265,1.73151,5.20061,1.34249,0.000905463,0.000905463,0.000905463
12,260.189,1.9642,1.67935,1.55909,0.55645,0.41817,0.41552,0.16267,1.72319,3.80555,1.37279,0.000886404,0.000886404,0.000886404
13,282.341,1.9859,1.63748,1.58906,0.48467,0.40968,0.3964,0.16474,1.71071,3.06447,1.41256,0.000865839,0.000865839,0.000865839
14,304.113,1.95286,1.63904,1.58197,0.51616,0.40596,0.4105,0.17598,1.71858,3.45768,1.36965,0.000843851,0.000843851,0.000843851
15,325.506,1.96496,1.57364,1.55554,0.54315,0.37989,0.40595,0.1728,1.68001,5.42934,1.35913,0.000820525,0.000820525,0.000820525
16,346.713,1.92419,1.58644,1.53051,0.53856,0.42382,0.43004,0.19072,1.65048,2.46865,1.33809,0.000795954,0.000795954,0.000795954
17,368.054,1.90842,1.54469,1.52482,0.53784,0.45726,0.45604,0.20149,1.61087,5.80421,1.30856,0.000770234,0.000770234,0.000770234
