epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.3988,1.79518,1.45084,1.57061,0.62047,0.47672,0.50085,0.21506,1.59873,2.21831,1.36949,0.0669992,0.000165833,0.000165833
2,76.3334,1.76236,1.41191,1.54211,0.60226,0.47858,0.51326,0.23098,1.51526,3.163,1.2985,0.0338316,0.000331598,0.000331598
3,112.899,1.74524,1.42232,1.52039,0.60922,0.51769,0.55361,0.24365,1.5198,2.39314,1.29633,0.000660434,0.000493767,0.000493767
4,149.457,1.73181,1.33845,1.5258,0.61975,0.519,0.55776,0.25697,1.50638,2.11477,1.30201,0.000487886,0.000487886,0.000487886
5,186.025,1.75798,1.33376,1.55696,0.57442,0.50466,0.52417,0.23076,1.55325,2.21566,1.33365,0.000478603,0.000478603,0.000478603
6,223.536,1.75104,1.33928,1.5287,0.64632,0.48976,0.5427,0.23598,1.5364,2.66248,1.30855,0.000466841,0.000466841,0.000466841
7,261.225,1.73375,1.33078,1.52839,0.62765,0.47114,0.51596,0.23218,1.52512,2.3221,1.33094,0.000452732,0.000452732,0.000452732
8,298.748,1.70344,1.30864,1.49446,0.60641,0.49907,0.5215,0.23193,1.55571,2.68011,1.3335,0.000436428,0.000436428,0.000436428
9,336.27,1.70624,1.29607,1.50883,0.61688,0.48875,0.54282,0.24826,1.54303,2.11626,1.32619,0.00041811,0.00041811,0.00041811
10,373.758,1.68193,1.28317,1.48116,0.61314,0.53631,0.5588,0.25807,1.51463,2.2078,1.31753,0.000397977,0.000397977,0.000397977
11,411.296,1.67422,1.32235,1.49821,0.67274,0.527,0.57552,0.25894,1.51014,2.13226,1.31555,0.00037625,0.00037625,0.00037625
12,448.804,1.64971,1.24319,1.46915,0.64625,0.50279,0.55759,0.2508,1.51627,1.69369,1.32733,0.000353167,0.000353167,0.000353167
13,486.507,1.64506,1.2406,1.46333,0.60199,0.53234,0.54234,0.24803,1.53581,2.53396,1.3295,0.000328982,0.000328982,0.000328982
14,523.862,1.6184,1.20163,1.45803,0.62781,0.54971,0.56228,0.26084,1.51441,1.90434,1.32606,0.000303958,0.000303958,0.000303958
15,561.621,1.60836,1.16312,1.44537,0.65321,0.49808,0.5659,0.26161,1.51513,2.1659,1.32443,0.000278371,0.000278371,0.000278371
16,599.338,1.60747,1.17826,1.44128,0.58316,0.5568,0.55802,0.26272,1.51097,1.9695,1.31215,0.0002525,0.0002525,0.0002525
17,636.547,1.59383,1.11678,1.42589,0.64203,0.5444,0.59159,0.26649,1.52884,1.91552,1.32452,0.000226629,0.000226629,0.000226629
18,673.071,1.57775,1.12191,1.42169,0.64588,0.53073,0.58345,0.26856,1.50928,1.72718,1.31008,0.000201042,0.000201042,0.000201042
19,709.682,1.57145,1.10466,1.40801,0.71461,0.4879,0.59304,0.27185,1.49815,1.96428,1.30007,0.000176018,0.000176018,0.000176018
20,746.281,1.58339,1.09124,1.42066,0.6544,0.54303,0.59324,0.26862,1.52106,2.30757,1.32708,0.000151833,0.000151833,0.000151833
21,798.256,1.53933,1.06448,1.40087,0.69444,0.53445,0.5943,0.27639,1.50127,1.99845,1.30345,0.00012875,0.00012875,0.00012875
22,834.787,1.55437,1.07414,1.39342,0.71873,0.50917,0.59799,0.27555,1.50208,1.92973,1.31285,0.000107023,0.000107023,0.000107023
23,871.443,1.51933,1.05769,1.39366,0.68772,0.51955,0.58995,0.27586,1.504,1.78511,1.30715,8.68902e-05,8.68902e-05,8.68902e-05
24,908.613,1.5199,1.07237,1.39852,0.66745,0.54004,0.60232,0.27994,1.50558,1.92276,1.31241,6.85717e-05,6.85717e-05,6.85717e-05
25,947.662,1.52764,1.04229,1.38599,0.72929,0.51583,0.60293,0.27647,1.51388,1.84623,1.31969,5.22683e-05,5.22683e-05,5.22683e-05
26,988.115,1.49465,1.02765,1.37624,0.73064,0.51955,0.60602,0.27574,1.51257,1.94985,1.32191,3.81587e-05,3.81587e-05,3.81587e-05
27,1028.26,1.4829,1.02023,1.36375,0.73368,0.5121,0.60478,0.2714,1.5202,1.96572,1.32341,2.63975e-05,2.63975e-05,2.63975e-05
28,1068.55,1.47924,1.0095,1.3605,0.68554,0.54004,0.60229,0.2714,1.51898,1.96866,1.32365,1.71135e-05,1.71135e-05,1.71135e-05
29,1108.57,1.45148,1.01139,1.3513,0.69034,0.53073,0.59826,0.27277,1.51805,1.96289,1.32335,1.04085e-05,1.04085e-05,1.04085e-05
30,1146.86,1.46896,1.00114,1.35035,0.71421,0.51955,0.60348,0.27259,1.5218,1.97068,1.32652,6.35583e-06,6.35583e-06,6.35583e-06
