epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1356,1.82282,1.65108,1.68372,0.56999,0.45664,0.48164,0.19177,1.61125,2.21433,1.47279,0.0673485,0.0005985,0.0005985
2,125.259,1.83722,1.73269,1.70536,0.53829,0.44073,0.45934,0.1805,1.59679,3.19915,1.4152,0.0346079,0.0011912,0.0011912
3,180.054,1.88063,1.89831,1.71442,0.55715,0.41899,0.46808,0.18503,1.57775,2.007,1.45296,0.00183826,0.00175493,0.00175493
4,234.563,1.9005,1.8149,1.77712,0.44715,0.41713,0.38667,0.16475,1.67162,2.1386,1.49091,0.00170289,0.00170289,0.00170289
5,288.928,1.92471,1.78983,1.76086,0.52933,0.42086,0.43449,0.17941,1.67955,2.02251,1.47632,0.00162983,0.00162983,0.00162983
6,344.383,1.94197,1.7975,1.74219,0.57486,0.38777,0.4466,0.18996,1.59359,2.08558,1.45763,0.00153903,0.00153903,0.00153903
7,401.156,1.81221,1.69718,1.68696,0.49556,0.43017,0.44599,0.19609,1.60773,2.0644,1.48947,0.00143272,0.00143272,0.00143272
8,461.388,1.7811,1.64341,1.68367,0.57095,0.4432,0.47616,0.20904,1.56412,1.79148,1.44978,0.00131351,0.00131351,0.00131351
9,525.173,1.78266,1.64488,1.6713,0.51911,0.43948,0.45135,0.1871,1.58865,2.20598,1.43039,0.00118433,0.00118433,0.00118433
10,591.422,1.76385,1.65883,1.66466,0.50605,0.46369,0.46986,0.20896,1.55631,1.9549,1.42675,0.00104838,0.00104838,0.00104838
11,661.278,1.74279,1.56741,1.62921,0.55947,0.48231,0.4954,0.21867,1.53559,2.0321,1.41237,0.000909,0.000909,0.000909
12,715.222,1.68377,1.4806,1.59255,0.59247,0.47377,0.51073,0.23129,1.5353,1.87436,1.42679,0.000769617,0.000769617,0.000769617
13,769.269,1.68088,1.4639,1.5904,0.624,0.48521,0.52298,0.23973,1.52157,1.93994,1.42608,0.000633666,0.000633666,0.000633666
14,823.408,1.63491,1.33761,1.53615,0.58566,0.51328,0.53638,0.23929,1.53267,1.74764,1.38444,0.000504494,0.000504494,0.000504494
15,877.704,1.71513,1.39322,1.59286,0.5695,0.53259,0.54455,0.24998,1.51705,1.57249,1.39309,0.000385283,0.000385283,0.000385283
16,932.622,1.63228,1.29915,1.5528,0.59554,0.52886,0.54446,0.25659,1.49157,1.88802,1.37865,0.000278968,0.000278968,0.000278968
17,986.728,1.60997,1.30831,1.51999,0.60335,0.52686,0.54815,0.24986,1.49283,1.84151,1.36977,0.000188166,0.000188166,0.000188166
18,1041.3,1.57939,1.26748,1.4975,0.57319,0.56238,0.55939,0.26594,1.48986,1.73831,1.36811,0.000115113,0.000115113,0.000115113
19,1095.75,1.56737,1.26235,1.49485,0.59845,0.52731,0.57095,0.26607,1.50088,1.65115,1.38774,6.16086e-05,6.16086e-05,6.16086e-05
20,1150.31,1.55268,1.23728,1.49319,0.62047,0.51397,0.57513,0.26738,1.48834,1.68365,1.37802,2.89697e-05,2.89697e-05,2.89697e-05
